species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Perameles fasciata,Liverpool Plains striped bandicoot,"['Liverpool Plains agricultural region', 'north-central New South Wales']",unknown,"['New South Wales, Australia']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,[],Extinct species of bandicoot formerly found in the Liverpool Plains agricultural region of north-central New South Wales; assessed as extinct by IUCN and Australian and New South Wales governments.
Tomopeas ravus,blunt-eared bat,"['arid regions', 'semiarid regions', 'coastal region', 'granite boulder crevices', 'rock outcroppings']",specialist,['Peru'],True,insectivorous,primary consumer,7.3,0.002,unknown,critically endangered,unknown,"['habitat loss', 'agricultural conversion', 'urbanization', 'vampire bat control efforts', 'cave fumigation']","Extremely small bat endemic to Peru, roosts in small granite crevices, insectivorous, possibly under-sampled, critically endangered due to habitat loss and human activities."
Kerivoula africana,Tanzanian woolly bat,"['subtropical moist lowland forests', 'tropical moist lowland forests']",specialist,['Tanzania'],True,unknown,unknown,3.4,0.008320000000000001,unknown,endangered,decreasing,"['habitat loss', 'logging', 'conversion of wetlands to agriculture', 'collection for traditional medicine']",Smallest species of its genus known at time of description; endemic to eastern coast of Tanzania; area of occupancy likely less than 500 km2; all individuals likely in fewer than five locations; threatened by habitat destruction and traditional medicine use.
Rhinolophus maclaudi,Maclaud's horseshoe bat,"['moist savanna', 'caves', 'subterranean habitats']",specialist,['Guinea'],True,unknown,unknown,8.92,0.03,unknown,endangered,decreasing,"['habitat loss', 'bushmeat consumption', 'disturbance from logging', 'disturbance from mining', 'cave exploitation']",Endemic to Guinea with a very limited range (~360 km2). Roosts in caves singly or in small colonies. Listed as endangered by IUCN and a priority species for conservation. Threatened by habitat loss and hunting for bushmeat. Protected by local bans on bat meat consumption due to Ebola concerns. Largest species in its group with distinctive noseleaf morphology.
Styloctenium mindorensis,Mindoro stripe-faced fruit bat,['forests on Mindoro island'],specialist,"['Mindoro, Philippines']",True,fruit,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,"['hunting', 'habitat loss', 'deforestation']","Large megabat endemic to Mindoro island, distinguished by orange pelage and white facial markings; hunted for food and threatened by deforestation; assessed as endangered by IUCN."
Rhinolophus guineensis,Guinean horseshoe bat,"['subtropical forest', 'tropical forest', 'moist savanna', 'caves', 'subterranean habitats']",generalist,"['Ivory Coast', 'Guinea', 'Liberia', 'Senegal', 'Sierra Leone']",False,unknown,unknown,4.4,0.0095,unknown,endangered,unknown,[],Medium-sized African horseshoe bat with forearm length 44-50 mm and weight 8-11 g. Found at elevations above 1400 m in West Africa. Described as a species in 1978.
Rhinolophus cognatus,Andaman horseshoe bat,"['caves', 'tree hollows']",specialist,['Andaman Islands'],True,unknown,unknown,3.9,0.00862,unknown,endangered,decreasing,['disturbance related to edible-nest swiftlet nest harvesting'],"Roosts in colonies of fewer than 50 individuals, forms mixed-species colonies, average generation time 7.5 years, restricted range less than 500 km2, exists in fewer than five locations, absent from previous known roosts in several caves indicating decline."
Chalinolobus neocaledonicus,New Caledonian wattled bat,['New Caledonia'],specialist,['New Caledonia'],True,unknown,unknown,5.05,0.0128,unknown,endangered,decreasing,['habitat decline in quality and extent'],"Small bat species endemic to New Caledonia with a head and body length of 50.5 mm, forearm length of 35.3 mm, and tail length of 33 mm. Listed as endangered due to limited area of occupancy (<500 km2), fewer than six known localities, and declining habitat."
Saccopteryx antioquensis,Antioquian sac-winged bat,"['humid lowlands', 'karst formations']",specialist,['Colombia'],True,aerial insectivore,primary consumer,5.0,0.0128,unknown,endangered,decreasing,"['habitat loss', 'agriculture expansion']","Only two individuals ever found, both in 1996 in Eastern Antioquia, Colombia. Not seen since 1996 despite surveys. Medium-sized bat with forearm length 36.2–38 mm, total body length 50–54 mm. Habitat not protected."
Chalinolobus tuberculatus,New Zealand long-tailed bat,"['lowland forests', 'open-structured forests', 'forest edges', 'caves', 'tree cavities', 'rock fractures', 'under bark', 'wetlands', 'bodies of water']",specialist,"['New Zealand', 'Stewart Island', 'Little Barrier Island', 'Great Barrier Island', 'Kapiti Island']",True,insectivorous,secondary consumer,5.5,0.01,low,nationally critical,decreasing,"['mammalian predators', 'stoats (Mustela erminea)', 'rats (Rattus rattus)', 'feral cats (Felis catus)', 'human interference', 'bird interference', 'logging', 'urbanisation']","Small insectivorous bat endemic to New Zealand with large home ranges up to 20km radius. Roosts in tree cavities and caves, frequently changes roost sites nightly. Uses echolocation for foraging. Enters torpor frequently to conserve energy. Population severely impacted by introduced mammalian predators with predicted 90% decline in 30 years without intervention. Conservation efforts focus on predator control and monitoring."
Acerodon jubatus,giant golden-crowned flying fox,"['forest', 'riparian zones', 'undisturbed forest areas', 'river corridors']",specialist,"['Philippines', 'Bohol', 'Boracay', 'Cebu', 'Leyte', 'Luzon', 'Mindanao', 'Mindoro', 'Negros', 'Polillo']",True,"frugivorous with some leaves, primarily figs (ficus species)",primary consumer,21.0,1.4,low,endangered,decreasing,"['deforestation', 'poaching for bushmeat', 'human disturbance', 'illegal hunting', 'habitat loss']","One of the largest bat species in the world, endemic to the Philippines, primarily frugivorous with a diet focused on figs, forms large mixed-species roosts, threatened by habitat loss and hunting despite legal protections."
Rhogeessa genowaysi,Genoways's yellow bat,"['mature tropical forests', 'second growth tropical forests']",specialist,"['Mexico', 'Chiapas']",True,aerial insectivore,primary consumer,5.6,0.005,unknown,endangered,decreasing,"['habitat loss', 'habitat destruction for agriculture']","Small bat species weighing approximately 5 g, found only in southern Chiapas, Mexico. It is cryptic and morphologically similar to Rhogeessa tumida but distinguishable by ear length and karyotype. Lives in low elevation tropical forests and is threatened by habitat fragmentation and destruction."
Rhinolophus rex,king horseshoe bat,[],unknown,['China'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The king horseshoe bat (Rhinolophus rex) is a species of bat in the family Rhinolophidae, endemic to the east coast of China."
Pteralopex flanneryi,greater monkey-faced bat,['old-growth lowland forest'],specialist,"['Solomon Islands', 'Bougainville, Papua New Guinea', 'Puruata Island', 'Buka Island', 'Choiseul Island', 'Santa Isabel Island', 'Barora Fa Island']",True,frugivorous,primary consumer,16.9,0.79,unknown,critically endangered,decreasing,"['hunting for bushmeat', 'habitat destruction', 'climate change']",Largest member of its genus with forearm length 159-169 mm and wingspan over 1.5 m. Unique double canine tooth used to break open coconuts. Only one individual documented since 1990. Conservation efforts include community engagement and habitat protection.
Nyctimene rabori,Philippine tube-nosed fruit bat,"['primary subtropical or tropical dry forests', 'secondary subtropical or tropical dry forests', 'near water']",specialist,"['Philippines', 'Cebu', 'Negros', 'Sibuyan']",True,frugivore,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat loss', 'deforestation']","Endemic to the Philippines, found on Cebu, Negros, and Sibuyan islands; inhabits primary and secondary subtropical or tropical dry forests often near water; threatened by habitat loss due to deforestation."
Dobsonia chapmani,Philippine naked-backed fruit bat,"['limestone caves', 'forest', 'native shrubby vegetation', 'agricultural clearings']",specialist,"['Negros Island, Philippines', 'Cebu Island, Philippines']",True,frugivore,primary consumer,21.8,0.125,unknown,critically endangered,decreasing,"['deforestation', 'overharvesting for meat', 'habitat loss', 'low genetic diversity', 'climate change']","Once abundant, the species was declared extinct in 1996 but rediscovered in 2000. It now survives in very small numbers, primarily in caves within remaining forest patches. The species is hunted for meat and threatened by habitat destruction due to agriculture and sugar plantations. Conservation efforts include habitat protection in Cebu and local government patrols, but no protection exists on Negros Island."
Lonchophylla dekeyseri,Dekeyser's nectar bat,"['cerrado biome', 'pasture', 'dry forests with calcareous outcroppings', 'caves']",specialist,"['Brazil', 'Bolivia']",True,"nectar, insects, fruit",primary consumer,3.5,0.0107,low,endangered,decreasing,"['indiscriminate vampire bat culling', 'lighting dynamite in caves', 'cementing caves shut', 'habitat loss due to mining', 'habitat decline']","Small nectar-feeding bat endemic to the Brazilian Cerrado, dependent on caves for roosting, with a patchy distribution and fewer than 2,500 individuals. Threatened by vampire bat control methods and habitat disturbance from mining."
Lonchophylla bokermanni,Bokermann's nectar bat,['Cerrado'],specialist,['Brazil'],True,"nectar, pollen, ants",primary consumer,6.0,0.012,unknown,endangered,decreasing,[],"Endemic to Brazil's Cerrado; nectarivorous bat with specialized feeding behavior; listed as endangered due to restricted range after taxonomic split; forages alone using trap-lining; body length 60-65 mm, weight approx. 12 g."
Nyctophilus nebulosus,New Caledonian long-eared bat,"['tall rainforest', 'grassland', 'Maquis shrubland']",specialist,"['New Caledonia', 'Mount Koghis']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered,decreasing,"['habitat removal for commercial development', 'habitat removal for residential development', 'habitat removal for recreational development', 'logging', 'fire management practices']","Only recorded at Mount Koghis, New Caledonia; population is decreasing; identified by the Alliance for Zero Extinction as in danger of imminent extinction."
Natalus jamaicensis,Jamaican greater funnel-eared bat,['St. Clair Cave'],specialist,['Jamaica'],True,insects,insectivore,4.4,0.008280000000000001,unknown,critically endangered,decreasing,"['habitat decline', 'predation by feral cats']","Endemic to St. Clair Cave, Jamaica; limited extent of occurrence less than 100 km²; included in Bat Conservation International's list of 35 priority species for worldwide conservation."
Myonycteris brachycephala,São Tomé collared fruit bat,"['subtropical moist forest', 'tropical moist forest', 'montane forest', 'moist tropical montane forest', 'tropical lowland forest', 'cocoa plantations']",specialist,"['São Tomé Island', 'São Tomé and Príncipe']",True,frugivore,primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['habitat destruction', 'tree felling', 'land conversion for agriculture']",Only known mammal species with an asymmetrical dental formula; entire population missing one lower internal incisor due to a neutral mutation and founder effect; naturally rare species with no bat colonies found and individuals recorded at only three locations.
Sturnira nana,lesser yellow-shouldered bat,"['lower elevation montane forests', 'edges of clearings']",specialist,"['Peru', 'Ecuador']",False,unknown,unknown,3.42,0.008320000000000001,unknown,endangered,decreasing,['habitat loss'],Smallest member of its genus; known from only two sites with severely fragmented distribution; basal lineage within its genus; lacks shoulder glands found in other members of its genus.
Myotis atacamensis,Atacama myotis,"['Atacama Desert', 'Chilean matorral', 'deserts', 'semi-arid environments', 'thorny scrub', 'sclerophyllous forests', 'rock crevices', 'caves', 'roof edifications of barns or churches in rural communities']",specialist,"['Chile', 'Peru']",False,insectivorous,primary consumer,4.5,0.005,low,endangered,decreasing,"['wind farms', 'mining', 'urban development', 'agricultural changes']","Smallest Myotis species in South America, colonial insectivorous bat with unique echolocation, capable of torpor to conserve water, populations severely fragmented with area of occupancy less than 200 km2, expected population decline over next 18 years."
Myotis leibii,eastern small-footed bat,"['rock formations in deciduous forests', 'rock formations in coniferous forests', 'mountainous areas', 'cliffs', 'bluffs', 'shale barrens', 'talus slopes', 'man-made rocky habitats (buildings, cement guard rails, turnpike tunnels, road-cuts, rip-rap covered dams)', 'caves and mines (hibernation sites)']",specialist,"['southern Ontario', 'Quebec', 'eastern United States', 'New England', 'northern Georgia', 'northern Arkansas', 'southern Missouri', 'Appalachian Mountains', 'Ohio River basin']",False,"primarily flying insects such as beetles, moths, and flies; mainly soft-bodied prey",insectivore,6.5,0.005,low,endangered,decreasing,"['habitat disturbance', 'white-nose syndrome', 'pollution (especially water pollution)', 'human disturbance during hibernation', 'forest encroachment', 'mining', 'quarrying', 'oil and gas drilling', 'logging', 'highway construction', 'wind energy development', 'agricultural, industrial and residential development']",Smallest bats in eastern North America with distinctive black face-mask and very small feet; hibernate in cold caves and mines near entrances; vulnerable due to restricted range and habitat needs; low reproductive rate with usually one offspring per year; difficult to monitor due to cryptic hibernation and roosting habits; impacted by white-nose syndrome but less severely than some other species.
Tadarida latouchei,La Touche's free-tailed bat,[],unknown,"['China', 'Japan', 'Thailand']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"Species of bat in the family Molossidae, found in China, Japan, and Thailand, named after Irish naturalist John David Digues La Touche."
Myotis peninsularis,peninsular myotis,"['southern Peninsular Ranges', 'deserts']",specialist,"['Baja California Sur, Mexico']",True,unknown,unknown,9.1,0.03436,unknown,endangered,decreasing,['tourist activities'],"Endemic to southern Baja California Peninsula, found in only three or four locations with extent of occurrence less than 4,000 km2; habitat quality and extent expected to decline."
Myotis planiceps,flat-headed myotis,"['montane forests', 'Yucca', 'pinyon pine']",specialist,"['Mexico', 'Coahuila', 'Nuevo León', 'Zacatecas', 'Sierra Madre Oriental']",True,unknown,unknown,5.1,0.007,unknown,endangered,decreasing,"['habitat loss', 'logging', 'man-made degradation']",Endemic to Mexico's Sierra Madre Oriental; rediscovered in 2004 after thought extinct; population fewer than 250 individuals; habitat limited to montane forests with Yucca and pinyon pine; identified by Alliance for Zero Extinction as in danger of imminent extinction.
Rhinolophus ruwenzorii,Ruwenzori horseshoe bat,"['subtropical or tropical moist lowland forest', 'swamps', 'caves', 'other subterranean habitats']",specialist,"['Democratic Republic of the Congo', 'Rwanda', 'Uganda']",False,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,unknown,unknown,[],"The Ruwenzori horseshoe bat is found in subtropical or tropical moist lowland forests, swamps, caves, and other subterranean habitats in the Democratic Republic of the Congo, Rwanda, and Uganda."
Rhinolophus ziama,Ziama horseshoe bat,"['subtropical moist lowland forests', 'tropical moist lowland forests', 'montane forests']",specialist,"['Guinea', 'Sierra Leone', 'Liberia']",False,unknown,unknown,7.340000000000001,0.02,unknown,endangered,unknown,['habitat damage due to Second Liberian Civil War'],"One of the largest horseshoe bats in Africa, weighing 20-24 g. Known from very few specimens with a small range initially estimated at 32 km2, later extended by new findings. Listed as endangered by the IUCN and included in Bat Conservation International's worldwide priority list."
Pteralopex anceps,Bougainville monkey-faced bat,"['mature forests', 'upland areas', 'cloud forests']",specialist,"['Bougainville Island, Papua New Guinea', 'Choiseul Island, Solomon Islands']",True,"unknown, possibly hard, abrasive fruits",unknown,14.1,0.1202,unknown,endangered,decreasing,"['habitat destruction from agriculture', 'hunting for bushmeat']",Largest member of genus Pteralopex; inhabits cloud forests above 1100m; last seen on Bougainville in 2016 and Choiseul in 2008; feared extinct in 1992 but rediscovered in 1995; conservation efforts include community engagement and habitat protection.
Pteralopex atrata,Guadalcanal monkey-faced bat,"['lowland forests', 'old-growth forests', 'hollow trees']",specialist,"['Guadalcanal Island', 'New Georgia Island']",True,frugivore (observed eating unripe mangos),primary consumer,24.0,0.438,unknown,endangered,decreasing,"['hunting for bushmeat', 'logging']",Endemic megabat of Solomon Islands; weighs 438-506 g; roosts in hollow trees; likely dependent on old-growth forests; last observed in 2015; threatened by hunting and logging; infrequently encountered; has red iris and black fur; dental formula 34 teeth.
Pteropus brunneus,Dusky flying-fox,"['offshore island', 'Percy Island, Queensland, Australia']",specialist,"['Percy Island, Queensland, Australia']",True,unknown,unknown,21.0,0.2,unknown,extinct,decreasing,"['possible cyclone impact', 'habitat uncertainty', 'small population size']",Known from a single specimen collected in 1874; presumed extinct shortly after due to possible cyclone or locality error; no further sightings or specimens; uncertain distribution; smaller species of Pteropus with golden brown fur.
Pteropus conspicillatus,spectacled flying fox,"['rainforest', 'mangroves', 'paperbark forests', 'eucalypt forests', 'urban areas']",specialist,"['north-eastern Queensland, Australia', 'New Guinea', 'Woodlark Island', 'Alcester Island', 'Kiriwina', 'Halmahera']",False,"rainforest fruits, riparian zone flowers, myrtaceae flowers (eucalyptus, syzygium), moraceae fruits (figs)",herbivore,23.5,0.7,low,endangered,decreasing,"['habitat loss', 'heatwaves', 'predation by rufous owls', 'predation by freshwater crocodiles', 'predation by olive pythons', 'paralysis tick', 'human-related mortality (power lines, nets, barbed wire)', 'crop protection shooting']","Listed as endangered due to significant population decline from habitat loss and extreme heatwaves causing mass die-offs. Lives primarily in rainforests and related habitats, feeds on fruits and flowers, has low reproductive rate with one pup annually, and faces multiple natural and anthropogenic threats."
Pteropus melanopogon,black-bearded flying fox,['mangrove forests'],specialist,"['Indonesia', 'Maluku Islands', 'Seram Island', 'Ambon Island', 'Buru', 'Banda Islands', 'Yamdena']",True,"nectar and flowers (e.g., durian flowers)",primary consumer,28.77,0.51,unknown,endangered,decreasing,"['habitat destruction', 'deforestation', 'overhunting', 'bushmeat hunting']",Highly colonial species forming roosts up to 200 individuals; only one known colony remains; wings attach closer to spine; robust skull; host to nasal mite Opsonyssus asiaticus.
Pteropus mariannus,Mariana fruit bat,"['Mariana Islands', 'Ulithi atoll in the Caroline Islands']",specialist,"['Mariana Islands', 'Ulithi (Caroline Islands)']",True,"fruits, including cycad seeds",primary consumer,15.6,0.5,unknown,endangered,decreasing,"['habitat loss', 'poaching', 'introduction of invasive species', 'accumulation of toxins from cycad seeds']","Mid-sized megabat endemic to Mariana Islands and Ulithi; population estimated 300-400 in 2001; listed endangered by USFWS since 1983; threatened by habitat loss, poaching, invasive species, and toxin accumulation."
Pteropus molossinus,Caroline flying fox,"['subtropical dry forests', 'tropical dry forests']",specialist,"['Pohnpei', 'Ant Atoll', 'Pakin Atoll', 'Federated States of Micronesia']",True,"frugivorous (fruits from palm trees clinostigma, plants in genus pandanus, flowers from kapok tree and coconut tree)",primary consumer,9.02,0.1,unknown,endangered,decreasing,"['habitat loss due to expanding plantations', 'hunting pressures', 'small population size']",Smallest member of the flying fox genus; roosts singly or in pairs but colonies up to 300 recorded; hunted for export prior to ban; endemic to Caroline Islands.
Mormopterus acetabulosus,Natal free-tailed bat,['caves'],specialist,['Mauritius'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,endangered,decreasing,"['disturbance of cave habitat', 'tourism']","Endemic to Mauritius, roosts in caves, population declined by more than 80% from 1999-2017, described in 1804, very small bat with wrinkled upper lip and small ears connected by interaural membrane."
Pteropus subniger,small Mauritian flying fox,"['caves', 'ancient hollow trees', 'old trees']",specialist,"['Réunion', 'Mauritius', 'Mascarene Islands']",True,nectar and possibly soft fruit,primary consumer,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['forest clearance', 'hunting']","Roosted communally in large numbers (up to 400) in caves or hollow trees, nocturnal, delicate teeth indicating nectar and soft fruit diet, vulnerable to habitat loss and hunting, extinct by 19th century."
Pteropus tuberculatus,Vanikoro flying fox,"['middle understory of trees', 'coconut farms', 'forested areas with overhead cover']",specialist,"['Vanikoro island group', 'southern Solomon Islands']",True,"coconut flowers, coconut nectar, fan palm flowers",herbivore,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,"['habitat degradation due to logging', 'habitat loss', 'killing in coconut farms', 'opportunistic hunting']","Small flying fox with dark brown pelage, rediscovered in 2014 after being thought extinct, important pollinator of coconuts and other flowering plants, population estimated in high hundreds to low thousands."
Pteropus vampyrus,large flying fox,"['primary forest', 'mangrove forest', 'coconut groves', 'mixed fruit orchards', 'coastal regions', 'lowland habitats']",generalist,"['Malay Peninsula', 'Philippines', 'Sumatra', 'Java', 'Borneo', 'Timor']",False,"fruits, nectar, flowers",primary consumer,27.0,0.65,low,endangered,decreasing,"['bushmeat hunting', 'habitat loss', 'deforestation', 'unsustainable harvest', 'human-wildlife conflict (considered pest)']","One of the largest bats with a wingspan up to 1.5 m; feeds exclusively on fruits, nectar, and flowers; lacks echolocation but has well-developed eyesight; roosts in large colonies up to 20,000 individuals; hunted extensively for bushmeat leading to unsustainable population declines; natural reservoir of Nipah virus; listed on CITES Appendix II."
Hipposideros lamottei,Lamotte's roundleaf bat,"['lowland tropical rainforest', 'afromontane savanna', 'caves', 'mine shafts']",specialist,"['Mount Nimba', ""Côte d'Ivoire"", 'Guinea', 'Liberia']",True,insectivore (soft-bodied insects),primary consumer,5.61,0.0122,unknown,critically endangered,decreasing,"['mining for iron ore', 'habitat destruction via deforestation', 'bushmeat hunting']",Species restricted to Mount Nimba; roosts in caves and mine shafts; echolocates at 118-120 kHz; population declining due to habitat loss and mining; listed as critically endangered since 2004.
Hipposideros hypophyllus,Kolar leaf-nosed bat,"['subtropical dry forests', 'tropical dry forests', 'caves', 'tropical dry shrubland']",specialist,['India'],True,unknown,unknown,4.9,0.008799999999999999,unknown,critically endangered,decreasing,"['illegal blast-mining', 'habitat destruction', 'fires set in caves by miners']","Endemic to India, found in only one cave in Karnataka. Population less than 200 individuals. Roosts in caves, echolocates at 103-105.3 kHz. Conservation reserve established in 2019. Added to Schedule I of Indian Wildlife Protection Act in 2022."
Hipposideros curtus,short-tailed roundleaf bat,"['subtropical moist lowland forests', 'tropical moist lowland forests', 'caves', 'lowland tropical forest']",specialist,"['Cameroon', 'Equatorial Guinea', 'Nigeria']",False,unknown,unknown,4.2,0.0071,unknown,endangered,decreasing,"['habitat loss', 'habitat fragmentation', 'decline in habitat quality and extent']","The species is found in Cameroon, Equatorial Guinea, and possibly Nigeria. It inhabits lowland tropical forests and caves at elevations from 0 to 500 m. It is endangered due to limited suitable cave habitat (<2000 km2), habitat fragmentation, and habitat decline."
Hipposideros coxi,Cox's roundleaf bat,['caves'],specialist,"['Borneo', 'Sarawak, Malaysia']",True,insectivorous,primary consumer,5.06,0.008,unknown,endangered,decreasing,"['cave disturbance', 'harvesting of edible-nest swiftlet nests', 'mining', 'quarrying']",Medium-sized bat with large noseleaf covering muzzle; roosts in small colonies of 20 or fewer in caves; consumes at least seven insect orders; area of occupancy less than 500 km2; habitat highly fragmented and declining.
Miniopterus robustior,Loyalty bent-winged bat,['caves'],specialist,"['New Caledonia', 'Lifou Island', 'Maré Island']",True,soft-bodied insects captured in flight,insectivore,4.05,0.00828,unknown,unknown,unknown,['disturbance of cave roosts'],Colonial species roosting in caves with colonies of approximately 1000-1500 individuals; restricted range with only seven known roost caves; endemic to New Caledonia.
Latidens salimalii,Salim Ali's fruit bat,"['High Wavy Mountains', 'Western Ghats', 'caves', 'forests']",specialist,"['Theni district, Tamil Nadu, South India']",True,"frugivore (fruits of elaeocarpus oblongus, ficus glomerata, ficus macrocarpa, ficus beddomei)",primary consumer,10.0,0.05333,unknown,endangered,decreasing,"['hunting for bushmeat', 'loss and degradation of caves', 'deforestation']","Rare megabat species, medium-sized, no external tail, first collected in 1948, population expected to decline by 20% by 2032."
Taphozous hildegardeae,Hildegarde's tomb bat,"['tropical dry forests', 'caves', 'underground locations']",specialist,"['Kenya', 'Tanzania', 'Pemba Island', 'Zanzibar Island']",True,"insectivorous (grasshoppers, butterflies, moths)",primary consumer,92.58718085106382,1371.0242088757395,unknown,endangered,unknown,"['disturbance at roosting caves', 'degradation of feeding forests']","Diurnal sac-winged bat endemic to coastal East Africa; roosts in caves; feeds in tropical dry forests; small range (~20,000 km2) with about ten known locations; distinct migratory population in southeastern Kenya."
Leptonycteris nivalis,greater long-nosed bat,"['desert scrub', 'open woodlands', 'caves', 'mines', 'unoccupied buildings', 'hollow trees', 'sewers']",specialist,"['Mexico', 'United States']",False,"nectar and pollen, particularly from agave plants and cacti",primary consumer,5.4,0.024,low,"endangered (us), threatened (mexico)",decreasing,"['habitat loss', 'disturbance at roosting caves']",Highly colonial nectarivorous bat with specialized diet on agave and cacti; migratory females form maternity colonies; reproduction likely monoestrous with single pup litters; population has declined but some local increases noted; disturbance at single caves can impact entire species.
Phyllonycteris aphylla,Jamaican flower bat,['caves'],specialist,['Jamaica'],True,"fruit, pollen, nectar, possibly insects",primary consumer,8.8,0.014,unknown,critically endangered,decreasing,"['human disturbance to caves', 'predation by feral cats']","Critically endangered bat endemic to Jamaica, roosts exclusively in caves, population fewer than 500 individuals, highly dependent on cave habitats, diet includes fruit, pollen, nectar, and possibly insects."
Emballonura semicaudata,Pacific sheath-tailed bat,"['caves', 'lava tubes', 'tree hollows', 'rock crevices', 'forests']",specialist,"['American Samoa', 'Fiji', 'Guam', 'Micronesia', 'Palau', 'Samoa', 'Tonga', 'Vanuatu']",False,insectivorous,primary consumer,92.58718085106382,1371.0242088757395,unknown,threatened,decreasing,"['habitat loss', 'invasive species (goats)']",Social species forming colonies from a few individuals to hundreds; forages up to 5 km from roosting sites; subspecies E. s. rotensis is vulnerable and known to roost in only three caves.
Capra caucasica,West Caucasian tur,"['mountainous terrain', 'rough terrain']",specialist,"['Georgia', 'European Russia', 'Caucasus Mountains']",True,herbivore (grasses and leaves),primary consumer,100.0,65.0,medium,endangered,decreasing,"['livestock grazing', 'poaching', 'harsh winters', 'hunting', 'avalanches']",Mountain-dwelling goat-antelope native to the western Caucasus; sexually dimorphic; lives in herds; nocturnal; population declining due to human activities and environmental factors.
Muntiacus vuquangensis,giant muntjac,['evergreen forests'],specialist,"['Vietnam', 'Laos', 'eastern Cambodia', 'Annamite Mountains']",False,herbivore,primary consumer,128.0,40.0,unknown,critically endangered,decreasing,"['slash-and-burn agriculture', 'hunting']","Largest muntjac species, discovered in 1994, relocated successfully in Laos, preyed upon by tiger and leopard."
Axis calamianensis,Calamian deer,"['forest edges', 'open grassland']",specialist,"['Calamian Islands, Palawan province, Philippines']",True,"shoots, twigs, and leaves",herbivore,60.0,36.0,unknown,endangered,unknown,"['predation by birds of prey', 'predation by reticulated pythons', 'habitat loss']",Known as 'hog deer' for its unique fleeing behavior; crepuscular and mainly solitary; males have three-tined antlers; fawns are not spotted at birth; fossils found in Ille Cave indicate historical presence in Greater Palawan landmass.
Axis porcinus,Indian hog deer,"['forests', 'Indus River valley', 'Indo-Gangetic Plain', 'wildlife sanctuaries']",generalist,"['Pakistan', 'India', 'Nepal', 'Bhutan', 'Bangladesh', 'Myanmar', 'China (Yunnan Province)', 'Thailand', 'Cambodia', 'Australia', 'United States', 'Sri Lanka']",False,unknown,unknown,70.0,50.0,unknown,unknown,unknown,"['tiger', 'leopard', 'clouded leopard', 'Burmese python', 'dhole']","Small cervid native to Indian subcontinent and Indo-Gangetic Plain; introduced populations in Australia, US, Sri Lanka; runs with head low to duck under obstacles; mature males about 70 cm tall and 50 kg; thick coat changes seasonally; three-tined antlers typical; locally extinct in Laos and Vietnam; reintroduced in Thailand."
Hippocamelus bisulcus,south Andean deer,"['mountains', 'high mountainsides', 'cold valleys', 'open periglacial scrubland', 'low bluffs', 'rocky areas', 'upland forests', 'forest-borders', 'periglacial grassland']",specialist,"['Argentina', 'Chile']",False,"herbivore, including gunnera plants, lenga beech, and a variety of 32 plant items",herbivore,90.0,90.0,low,endangered,decreasing,"['habitat fragmentation', 'poaching', 'economic activities', 'invasive species', 'competition with red deer', 'predation by cougar', 'illegal hunting', 'habitat degradation', 'introduction of diseases']","The south Andean deer is a mid-sized deer native to Argentina and Chile, adapted to cold mountainous terrain. It has suffered a 99% reduction in population size and over 50% reduction in range. It is listed as Endangered by the IUCN. Conservation efforts include a bilateral MoU between Argentina and Chile focusing on habitat protection, monitoring, and reducing threats such as poaching and habitat degradation."
Elaphurus davidianus,Père David's deer,"['subtropical river valleys', 'swamp lands', 'wetlands']",specialist,['China'],True,herbivore (grass and aquatic plants),primary consumer,190.0,135.0,medium,extinct in the wild (iucn 2016),increasing,"['hunting', 'habitat loss', 'land reclamation', 'genetic bottleneck', 'loss of anti-predator behavior', 'predation by tigers and leopards (historical)']","Père David's deer is endemic to China, extinct in the wild by 2008 but reintroduced populations are increasing. It is a semiaquatic specialist herbivore with unique backward-pointing antlers. The species was saved from extinction by captive breeding in Europe and reintroduced to China starting in 1985. The population now exceeds 10,000 individuals in reserves and wild. It faces threats from genetic bottlenecks and loss of natural behaviors due to long captivity."
